timeStamp,elapsed,responseCode,threadName,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686603465500,293,200,Grupo de Usuários 1-208,text,286,1,0,0,0
1686603465539,265,200,Grupo de Usuários 1-215,text,247,1,0,0,0
1686603465569,273,200,Grupo de Usuários 1-211,text,266,1,0,0,0
1686603465649,270,200,Grupo de Usuários 1-212,text,262,1,0,0,0
1686603465668,294,200,Grupo de Usuários 1-209,text,288,1,0,0,0
1686603466036,289,200,Grupo de Usuários 1-216,text,283,1,0,0,0
1686603466095,274,200,Grupo de Usuários 1-213,text,257,1,0,0,0
1686603466278,282,200,Grupo de Usuários 1-204,text,276,1,0,0,0
1686603466323,284,200,Grupo de Usuários 1-214,text,278,1,0,0,0
1686603466684,303,200,Grupo de Usuários 1-219,text,290,1,0,0,0
1686603467010,289,200,Grupo de Usuários 1-220,text,282,1,0,0,0
1686603466978,299,200,Grupo de Usuários 1-224,text,299,1,0,0,0
1686603466967,283,200,Grupo de Usuários 1-218,text,279,1,0,0,0
1686603466969,264,200,Grupo de Usuários 1-217,text,257,1,0,0,0
1686603467149,275,200,Grupo de Usuários 1-225,text,267,1,0,0,0
1686603467183,268,200,Grupo de Usuários 1-222,text,261,1,0,0,0
1686603467381,263,200,Grupo de Usuários 1-226,text,256,1,0,0,0
1686603467424,264,200,Grupo de Usuários 1-223,text,246,1,0,0,0
1686603467594,270,200,Grupo de Usuários 1-228,text,258,1,0,0,0
1686603467376,519,200,Grupo de Usuários 1-221,text,513,1,0,0,0
1686603467707,263,200,Grupo de Usuários 1-232,text,249,1,0,0,0
1686603467750,304,200,Grupo de Usuários 1-230,text,288,1,0,0,0
1686603467759,295,200,Grupo de Usuários 1-231,text,287,1,0,0,0
1686603467849,329,200,Grupo de Usuários 1-227,text,316,1,0,0,0
1686603468043,265,200,Grupo de Usuários 1-236,text,259,1,0,0,0
1686603468064,266,200,Grupo de Usuários 1-229,text,259,1,0,0,0
1686603468386,268,200,Grupo de Usuários 1-233,text,262,1,0,0,0
1686603468337,529,200,Grupo de Usuários 1-235,text,523,1,0,0,0
1686603468658,285,200,Grupo de Usuários 1-234,text,279,1,0,0,0
1686603468715,261,200,Grupo de Usuários 1-238,text,255,1,0,0,0
1686603468810,269,200,Grupo de Usuários 1-239,text,262,1,0,0,0
1686603468955,270,200,Grupo de Usuários 1-237,text,264,1,0,0,0
1686603469148,301,200,Grupo de Usuários 1-242,text,288,1,0,0,0
1686603469392,284,200,Grupo de Usuários 1-243,text,278,1,0,0,0
1686603469552,268,200,Grupo de Usuários 1-240,text,253,1,0,0,0
1686603469348,458,200,Grupo de Usuários 1-244,text,452,1,0,0,0
1686603469544,338,200,Grupo de Usuários 1-241,text,331,1,0,0,0
1686603469654,276,200,Grupo de Usuários 1-247,text,264,1,0,0,0
1686603469658,272,200,Grupo de Usuários 1-246,text,260,1,0,0,0
1686603469873,336,200,Grupo de Usuários 1-245,text,330,1,0,0,0
1686603470015,265,200,Grupo de Usuários 1-250,text,257,1,0,0,0
1686603470124,265,200,Grupo de Usuários 1-248,text,259,1,0,0,0
1686603470936,299,200,Grupo de Usuários 1-249,text,259,1,0,0,0
