timeStamp,elapsed,label,responseCode,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686604082948,1076,Blazedemo,200,text,1069,1,0,0,424
1686604082775,1256,Blazedemo,200,text,1243,1,0,0,452
1686604083020,1018,Blazedemo,200,text,1004,1,0,0,410
1686604082972,1066,Blazedemo,200,text,1058,1,0,0,418
1686604082395,1649,Blazedemo,200,text,1636,1,0,0,667
1686604082888,1156,Blazedemo,200,text,1143,1,0,0,542
1686604082630,1414,Blazedemo,200,text,1401,1,0,0,422
1686604083128,923,Blazedemo,200,text,910,1,0,0,462
1686604082618,1440,Blazedemo,200,text,1433,1,0,0,435
1686604083024,1034,Blazedemo,200,text,1020,1,0,0,406
1686604082948,1116,Blazedemo,200,text,1103,1,0,0,359
1686604082882,1197,Blazedemo,200,text,1182,1,0,0,399
1686604082951,1128,Blazedemo,200,text,1119,1,0,0,358
1686604083109,976,Blazedemo,200,text,961,1,0,0,442
1686604082478,1613,Blazedemo,200,text,1601,1,0,0,597
1686604083014,1084,Blazedemo,200,text,1072,1,0,0,408
1686604083020,1078,Blazedemo,200,text,1065,1,0,0,402
1686604082951,1154,Blazedemo,200,text,1141,1,0,0,356
1686604083121,990,Blazedemo,200,text,978,1,0,0,430
1686604082619,1492,Blazedemo,200,text,1479,1,0,0,433
1686604083112,1000,Blazedemo,200,text,987,1,0,0,447
1686604082952,1173,Blazedemo,200,text,1167,1,0,0,559
1686604083117,1014,Blazedemo,200,text,1002,1,0,0,433
1686604083111,1020,Blazedemo,200,text,1008,1,0,0,440
1686604082959,1173,Blazedemo,200,text,1165,1,0,0,405
1686604083111,1027,Blazedemo,200,text,1013,1,0,0,439
1686604082774,1365,Blazedemo,200,text,1350,1,0,0,446
1686604083015,1124,Blazedemo,200,text,1110,1,0,0,405
1686604082949,1196,Blazedemo,200,text,1183,1,0,0,538
1686604082767,1378,Blazedemo,200,text,1365,1,0,0,453
1686604082956,1197,Blazedemo,200,text,1183,1,0,0,411
1686604082954,1199,Blazedemo,200,text,1191,1,0,0,414
1686604082958,1201,Blazedemo,200,text,1187,1,0,0,405
1686604082974,1185,Blazedemo,200,text,1171,1,0,0,538
1686604082954,1205,Blazedemo,200,text,1192,1,0,0,352
1686604082765,1419,Blazedemo,200,text,1388,1,0,0,455
1686604082951,1233,Blazedemo,200,text,1208,1,0,0,560
1686604082951,1234,Blazedemo,200,text,1208,1,0,0,416
1686604083115,1070,Blazedemo,200,text,1070,1,0,0,437
1686604083523,662,Blazedemo,200,text,662,1,0,0,382
1686604083113,1075,Blazedemo,200,text,1072,1,0,0,439
1686604083110,1078,Blazedemo,200,text,1075,1,0,0,441
1686604083109,1081,Blazedemo,200,text,1076,1,0,0,523
1686604082956,1235,Blazedemo,200,text,1229,1,0,0,410
1686604083302,896,Blazedemo,200,text,886,1,0,0,407
1686604083110,1088,Blazedemo,200,text,1078,1,0,0,440
1686604083124,1074,Blazedemo,200,text,1064,1,0,0,451
1686604082616,1588,Blazedemo,200,text,1575,1,0,0,896
1686604083129,1075,Blazedemo,200,text,1069,1,0,0,486
1686604083033,1171,Blazedemo,200,text,1158,1,0,0,454
1686604083130,1080,Blazedemo,200,text,1074,1,0,0,473
1686604082957,1260,Blazedemo,200,text,1253,1,0,0,405
1686604082884,1339,Blazedemo,200,text,1320,1,0,0,401
1686604082954,1269,Blazedemo,200,text,1256,1,0,0,355
1686604083016,1214,Blazedemo,200,text,1201,1,0,0,394
1686604083024,1212,Blazedemo,200,text,1199,1,0,0,398
1686604082393,1843,Blazedemo,200,text,1830,1,0,0,681
1686604083110,1126,Blazedemo,200,text,1113,1,0,0,402
1686604083115,1121,Blazedemo,200,text,1115,1,0,0,436
1686604083124,1118,Blazedemo,200,text,1106,1,0,0,436
1686604083116,1126,Blazedemo,200,text,1114,1,0,0,443
1686604083019,1230,Blazedemo,200,text,1223,1,0,0,493
1686604083122,1140,Blazedemo,200,text,1127,1,0,0,428
1686604083129,1133,Blazedemo,200,text,1120,1,0,0,460
1686604082689,1574,Blazedemo,200,text,1560,1,0,0,385
1686604083123,1140,Blazedemo,200,text,1132,1,0,0,437
1686604083126,1142,Blazedemo,200,text,1130,1,0,0,449
1686604083127,1142,Blazedemo,200,text,1129,1,0,0,463
1686604083111,1158,Blazedemo,200,text,1145,1,0,0,440
1686604083130,1139,Blazedemo,200,text,1132,1,0,0,501
1686604083126,1149,Blazedemo,200,text,1136,1,0,0,449
1686604083015,1260,Blazedemo,200,text,1247,1,0,0,398
1686604082956,1320,Blazedemo,200,text,1306,1,0,0,407
1686604083301,975,Blazedemo,200,text,962,1,0,0,415
1686604083431,845,Blazedemo,200,text,832,1,0,0,366
1686604083430,846,Blazedemo,200,text,833,1,0,0,392
1686604082884,1397,Blazedemo,200,text,1385,1,0,0,401
1686604083300,988,Blazedemo,200,text,975,1,0,0,416
1686604082959,1378,Blazedemo,200,text,1329,1,0,0,405
1686604083115,1222,Blazedemo,200,text,1173,1,0,0,437
1686604083300,1037,Blazedemo,200,text,1037,1,0,0,411
1686604083120,1218,Blazedemo,200,text,1217,1,0,0,455
1686604083311,1027,Blazedemo,200,text,1026,1,0,0,399
1686604083303,1036,Blazedemo,200,text,1034,1,0,0,407
1686604082487,1853,Blazedemo,200,text,1850,1,0,0,818
1686604082951,1389,Blazedemo,200,text,1387,1,0,0,415
1686604083303,1037,Blazedemo,200,text,1035,1,0,0,406
1686604083301,1040,Blazedemo,200,text,1039,1,0,0,410
1686604082976,1365,Blazedemo,200,text,1364,1,0,0,656
1686604083302,1039,Blazedemo,200,text,1038,1,0,0,409
1686604083115,1227,Blazedemo,200,text,1225,1,0,0,436
1686604083314,1030,Blazedemo,200,text,1027,1,0,0,395
1686604082885,1459,Blazedemo,200,text,1456,1,0,0,487
1686604083570,774,Blazedemo,200,text,771,1,0,0,337
1686604083313,1037,Blazedemo,200,text,1028,1,0,0,397
1686604083570,780,Blazedemo,200,text,774,1,0,0,337
1686604083592,765,Blazedemo,200,text,752,1,0,0,359
1686604083020,1344,Blazedemo,200,text,1330,1,0,0,402
1686604083117,1247,Blazedemo,200,text,1233,1,0,0,677
1686604082955,1416,Blazedemo,200,text,1402,1,0,0,352
1686604083312,1059,Blazedemo,200,text,1045,1,0,0,397
1686604083582,823,Blazedemo,200,text,782,1,0,0,326
1686604083580,825,Blazedemo,200,text,784,1,0,0,328
1686604083519,886,Blazedemo,200,text,845,1,0,0,343
1686604083525,881,Blazedemo,200,text,881,1,0,0,380
1686604083015,1391,Blazedemo,200,text,1390,1,0,0,405
1686604083012,1394,Blazedemo,200,text,1394,1,0,0,410
1686604083586,820,Blazedemo,200,text,819,1,0,0,332
1686604083131,1276,Blazedemo,200,text,1275,1,0,0,484
1686604083116,1291,Blazedemo,200,text,1290,1,0,0,679
1686604082958,1449,Blazedemo,200,text,1448,1,0,0,408
1686604083436,971,Blazedemo,200,text,970,1,0,0,403
1686604083526,886,Blazedemo,200,text,881,1,0,0,379
1686604083432,980,Blazedemo,200,text,975,1,0,0,430
1686604083435,983,Blazedemo,200,text,972,1,0,0,405
1686604083519,899,Blazedemo,200,text,888,1,0,0,343
1686604083437,981,Blazedemo,200,text,970,1,0,0,425
1686604083437,981,Blazedemo,200,text,970,1,0,0,403
1686604082957,1461,Blazedemo,200,text,1455,1,0,0,407
1686604083514,958,Blazedemo,200,text,944,1,0,0,348
1686604083519,947,Blazedemo,200,text,939,1,0,0,386
1686604083526,925,Blazedemo,200,text,913,1,0,0,379
1686604083571,880,Blazedemo,200,text,868,1,0,0,335
1686604083584,866,Blazedemo,200,text,854,1,0,0,347
1686604082954,1497,Blazedemo,200,text,1485,1,0,0,355
1686604083571,874,Blazedemo,200,text,861,1,0,0,336
1686604083524,915,Blazedemo,200,text,902,1,0,0,346
1686604083589,848,Blazedemo,200,text,836,1,0,0,361
1686604083515,923,Blazedemo,200,text,911,1,0,0,354
1686604083436,996,Blazedemo,200,text,982,1,0,0,404
1686604083302,1130,Blazedemo,200,text,1116,1,0,0,409
1686604083440,986,Blazedemo,200,text,972,1,0,0,408
1686604083303,1177,Blazedemo,200,text,1163,1,0,0,406
1686604083593,895,Blazedemo,200,text,879,1,0,0,366
1686604083433,1055,Blazedemo,200,text,1039,1,0,0,387
1686604083037,1451,Blazedemo,200,text,1442,1,0,0,418
1686604083439,1061,Blazedemo,200,text,1040,1,0,0,400
1686604083438,1062,Blazedemo,200,text,1041,1,0,0,402
1686604083028,1472,Blazedemo,200,text,1451,1,0,0,835
1686604083429,1071,Blazedemo,200,text,1050,1,0,0,367
1686604083444,1057,Blazedemo,200,text,1036,1,0,0,409
1686604083582,920,Blazedemo,200,text,906,1,0,0,337
1686604083587,915,Blazedemo,200,text,901,1,0,0,344
1686604083581,921,Blazedemo,200,text,919,1,0,0,350
1686604083313,1192,Blazedemo,200,text,1188,1,0,0,396
1686604083127,1378,Blazedemo,200,text,1374,1,0,0,735
1686604083514,991,Blazedemo,200,text,987,1,0,0,391
1686604083594,911,Blazedemo,200,text,907,1,0,0,377
1686604083013,1498,Blazedemo,200,text,1489,1,0,0,401
1686604082889,1622,Blazedemo,200,text,1616,1,0,0,393
1686604083109,1409,Blazedemo,200,text,1396,1,0,0,403
1686604083435,1083,Blazedemo,200,text,1070,1,0,0,413
1686604082958,1567,Blazedemo,200,text,1553,1,0,0,405
1686604083570,955,Blazedemo,200,text,948,1,0,0,336
1686604083112,1413,Blazedemo,200,text,1406,1,0,0,438
1686604083525,1056,Blazedemo,200,text,1056,1,0,0,380
1686604083125,1456,Blazedemo,200,text,1456,1,0,0,450
1686604083129,1452,Blazedemo,200,text,1451,1,0,0,882
1686604083593,988,Blazedemo,200,text,987,1,0,0,366
1686604083435,1146,Blazedemo,200,text,1145,1,0,0,470
1686604083593,994,Blazedemo,200,text,988,1,0,0,366
1686604083592,1001,Blazedemo,200,text,989,1,0,0,360
1686604083561,1032,Blazedemo,200,text,1020,1,0,0,347
1686604083591,1001,Blazedemo,200,text,989,1,0,0,360
1686604083116,1477,Blazedemo,200,text,1465,1,0,0,444
1686604083593,999,Blazedemo,200,text,988,1,0,0,365
