timeStamp,elapsed,responseCode,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686602710075,764,200,753,1,0,0,492
1686602710362,504,429,504,1,1,0,336
1686602710355,511,429,511,1,1,0,351
1686602709651,1221,200,1215,1,0,0,342
1686602710167,713,200,705,1,0,0,311
1686602710264,624,200,608,1,0,0,316
1686602710306,590,200,574,1,0,0,328
1686602709650,1246,200,1230,1,0,0,339
1686602710215,704,200,696,1,0,0,434
1686602709559,1368,200,1352,1,0,0,380
1686602709763,1164,200,1148,1,0,0,355
1686602710089,843,200,830,1,0,0,566
1686602710087,845,200,832,1,0,0,563
1686602709875,1065,200,1052,1,0,0,332
1686602709873,1079,200,1067,1,0,0,326
1686602710112,840,200,828,1,0,0,346
1686602710355,610,200,597,1,0,0,350
1686602709689,1276,200,1263,1,0,0,312
1686602710290,681,200,675,1,0,0,324
1686602709649,1322,200,1309,1,0,0,339
1686602710363,608,200,595,1,0,0,342
1686602709889,1090,200,1076,1,0,0,318
1686602709719,1266,200,1252,1,0,0,360
1686602709855,1130,200,1116,1,0,0,322
1686602709713,1272,200,1266,1,0,0,369
1686602709685,1300,200,1294,1,0,0,324
1686602709864,1128,200,1115,1,0,0,326
1686602709763,1229,200,1216,1,0,0,362
1686602710004,1013,200,981,1,0,0,658
1686602709863,1154,200,1122,1,0,0,328
1686602710152,865,200,840,1,0,0,587
1686602710342,675,200,651,1,0,0,374
1686602710164,853,200,853,1,0,0,327
1686602710349,677,200,668,1,0,0,368
1686602710278,754,200,748,1,0,0,384
1686602710100,932,200,920,1,0,0,358
1686602709941,1091,200,1079,1,0,0,362
1686602709914,1118,200,1106,1,0,0,319
1686602710143,898,200,883,1,0,0,329
1686602710309,739,200,732,1,0,0,448
1686602710174,875,200,867,1,0,0,341
1686602710005,1104,200,1092,1,0,0,313
1686602710005,1104,200,1098,1,0,0,333
1686602710225,878,200,866,1,0,0,327
1686602709967,1129,200,1117,1,0,0,333
1686602710421,675,200,656,1,0,0,318
1686602709875,1210,200,1202,1,0,0,324
1686602709878,1245,200,1239,1,0,0,322
1686602710189,968,200,955,1,0,0,333
1686602710204,953,200,940,1,0,0,321
1686602709960,1205,200,1191,1,0,0,327
1686602710000,1174,200,1165,1,0,0,338
1686602710006,1181,200,1174,1,0,0,333
1686602710225,962,200,949,1,0,0,348
1686602710269,928,200,911,1,0,0,324
1686602710020,1240,200,1234,1,0,0,319
1686602710206,1064,200,1055,1,0,0,766
1686602710361,927,200,917,1,0,0,337
1686602709854,1488,200,1482,1,0,0,322
1686602710372,988,200,981,1,0,0,725
1686602710258,1121,200,1113,1,0,0,322
1686602710201,1210,200,1203,1,0,0,366
1686602710087,1344,200,1338,1,0,0,562
1686602709875,1578,200,1572,1,0,0,338
1686602709919,1546,200,1540,1,0,0,323
1686602710361,1133,200,1126,1,0,0,336
1686602709945,1615,200,1603,1,0,0,342
1686602710051,1537,200,1528,1,0,0,314
1686602709942,1689,200,1684,1,0,0,361
1686602710233,1428,200,1421,1,0,0,333
1686602710051,1679,200,1669,1,0,0,314
1686602710000,1730,200,1720,1,0,0,323
1686602710274,1472,200,1466,1,0,0,326
1686602710075,1715,200,1709,1,0,0,353
1686602709763,2133,200,2128,1,0,0,355
1686602710126,1778,200,1765,1,0,0,346
1686602710356,1585,200,1579,1,0,0,349
1686602710126,1860,200,1857,1,0,0,346
1686602710122,1871,200,1861,1,0,0,349
1686602710251,1742,200,1735,1,0,0,315
